CUAWS: CUA Macro/WordStar UI for TSE Pro
(C) 1997-2004 by Bill Stewart (bstewart@iname.com)

Differences Between WORDSTAR.UI and WordStar 7.0

Command           WordStar 7.0                  WORDSTAR.UI
Ctrl-QZ           Continuous scroll down        (nothing)

Ctrl-R            Page up                       Replace
Ctrl-S            Left one character            (nothing)
Ctrl-V            Toggle insert                 Paste clipboard contents
Ctrl-X            Down one line                 Cut block to clipboard

Alt-0             (nothing)                     List open files
Alt-1..9          (nothing)                     Go to window 1 through 9

Alt-Backspace     (nothing)                     Undo
AltShift-Backspa  (nothing)                     Redo
